삼성전자 ,14.5,22.4,24.2
SK하이닉스,19.1,45.6,51.5
신한지주,14,16,18.9
LG생활건강,14.5,15.2,15.4
LG,13.7,18.5,23.5
기업은행,10,12.1,15.4
삼성전기,0.4,4.5,14.4
